year,batter,bat_side,pa,shift_pa,shift_percent,shift_wobp,nonshift_pa,nonshift_percent,nonshift_wobp
2019,"Acuna Jr., Ronald",R,710,148,20.8,0.343,562,79.2,0.376
2019,"Cron, C.J.",R,497,103,20.7,0.407,394,79.3,0.303
2019,"Laureano, Ramon",R,471,97,20.6,0.451,374,79.4,0.337
2019,"Rengifo, Luis",L,269,55,20.4,0.243,214,79.6,0.341
2019,"Kingery, Scott",R,499,102,20.4,0.402,397,79.6,0.31
2019,"Dozier, Hunter",R,584,118,20.2,0.484,466,79.8,0.329
2019,"Kemp, Tony",L,273,55,20.1,0.3,218,79.9,0.288
2019,"Simmons, Andrelton",R,415,83,20,0.359,332,80,0.274
2019,"McNeil, Jeff",L,565,111,19.6,0.382,454,80.4,0.385
2019,"Reynolds, Bryan",L,388,76,19.6,0.348,312,80.4,0.404
2019,"Hernandez, Cesar",L,479,91,19,0.283,388,81,0.341
2019,"Kinsler, Ian",R,281,53,18.9,0.254,228,81.1,0.282
2019,"Garver, Mitch",R,359,67,18.7,0.454,292,81.3,0.393
2019,"Wolters, Tony",L,406,75,18.5,0.317,331,81.5,0.284
2019,"Drury, Brandon",R,447,82,18.3,0.311,365,81.7,0.262
2019,"Tapia, Raimel",L,447,81,18.1,0.341,366,81.9,0.299
2019,"Canha, Mark",R,494,89,18,0.406,405,82,0.381
2019,"Maldonado, Martin",R,369,65,17.6,0.26,304,82.4,0.291
2019,"Naquin, Tyler",L,292,50,17.1,0.283,242,82.9,0.34
2019,"Martinez, J.D.",R,634,105,16.6,0.377,529,83.4,0.383
2019,"Dixon, Brandon",R,415,68,16.4,0.338,347,83.6,0.294
2019,"Soto, Juan",L,655,107,16.3,0.416,548,83.7,0.391
2019,"Alonso, Pete",R,687,110,16,0.393,577,84,0.382
2019,"Hosmer, Eric",L,664,104,15.7,0.374,560,84.3,0.297
2019,"Crawford, Brandon",L,555,87,15.7,0.284,468,84.3,0.28
2019,"Aguilar, Jesus",R,369,57,15.4,0.312,312,84.6,0.307
2019,"Flowers, Tyler",R,307,47,15.3,0.341,260,84.7,0.304
2019,"Bader, Harrison",R,399,61,15.3,0.26,338,84.7,0.3
2019,"Altuve, Jose",R,538,81,15.1,0.354,457,84.9,0.376
2019,"Cabrera, Melky",L,266,39,14.7,0.406,227,85.3,0.296
2019,"Puig, Yasiel",R,601,88,14.6,0.456,513,85.4,0.309
2019,"Locastro, Tim",R,250,36,14.4,0.223,214,85.6,0.329
2019,"Parra, Gerardo",L,298,43,14.4,0.246,255,85.6,0.295
2019,"Gardner, Brett",L,540,77,14.3,0.348,463,85.7,0.34
2019,"Goldschmidt, Paul",R,670,96,14.3,0.481,574,85.7,0.323
2019,"White, Tyler",R,274,39,14.2,0.311,235,85.8,0.26
2019,"Walker, Christian",R,594,83,14,0.322,511,86,0.349
2019,"Holt, Brock",L,291,40,13.7,0.265,251,86.3,0.344
2019,"Gomes, Yan",R,352,47,13.4,0.234,305,86.6,0.308
2019,"Piscotty, Stephen",R,383,50,13.1,0.237,333,86.9,0.313
2019,"Phegley, Josh",R,338,44,13,0.261,294,87,0.3
2019,"Adames, Willy",R,583,76,13,0.422,507,87,0.296
2019,"Robles, Victor",R,614,79,12.9,0.328,535,87.1,0.315
2019,"Ozuna, Marcell",R,538,66,12.3,0.39,472,87.7,0.324
2019,"Garcia, Leury",L,422,52,12.3,0.259,370,87.7,0.278
2019,"Tauchman, Mike",L,294,36,12.2,0.378,258,87.8,0.364
2019,"Donaldson, Josh",R,657,79,12,0.394,578,88,0.375
2019,"Pillar, Kevin",R,641,76,11.9,0.398,565,88.1,0.284
2019,"Mercer, Jordy",R,271,32,11.8,0.337,239,88.2,0.31
2019,"Arenado, Nolan",R,651,76,11.7,0.456,575,88.3,0.383
2019,"Panik, Joe",L,489,57,11.7,0.266,432,88.3,0.286
2019,"Ahmed, Nick",R,620,72,11.6,0.321,548,88.4,0.316
2019,"Santana, Domingo",R,495,57,11.5,0.375,438,88.5,0.319
2019,"Tatis Jr., Fernando",R,371,42,11.3,0.449,329,88.7,0.392
2019,"Mercado, Oscar",R,482,54,11.2,0.432,428,88.8,0.306
2019,"Springer, George",R,544,61,11.2,0.371,483,88.8,0.404
2019,"Franco, Maikel",R,409,43,10.5,0.215,366,89.5,0.289
2019,"Jones, Adam",R,523,55,10.5,0.376,468,89.5,0.302
2019,"Castillo, Welington",R,251,26,10.4,0.334,225,89.6,0.281
2019,"Alberto, Hanser",R,549,56,10.2,0.284,493,89.8,0.322
2019,"Cuthbert, Cheslor",R,324,33,10.2,0.159,291,89.8,0.299
2019,"Rodriguez, Ronny",R,293,30,10.2,0.268,263,89.8,0.282
2019,"Wendle, Joey",L,263,26,9.9,0.262,237,90.1,0.276
2019,"Jones, JaCoby",R,328,32,9.8,0.419,296,90.2,0.298
2019,"Bogaerts, Xander",R,686,67,9.8,0.507,619,90.2,0.376
2019,"Schoop, Jonathan",R,463,45,9.7,0.482,418,90.3,0.307
2019,"Gurriel, Yuli",R,602,58,9.6,0.308,544,90.4,0.366
2019,"Villar, Jonathan",L,465,43,9.2,0.282,422,90.8,0.356
2019,"Baez, Javier",R,552,50,9.1,0.344,502,90.9,0.348
2019,"Hernandez, Enrique",R,457,41,9,0.259,416,91,0.306
2019,"Anderson, Brian",R,518,46,8.9,0.359,472,91.1,0.341
2019,"Markakis, Nick",L,468,41,8.8,0.325,427,91.2,0.333
2019,"McCann, James",R,475,41,8.6,0.481,434,91.4,0.319
2019,"Swanson, Dansby",R,543,46,8.5,0.337,497,91.5,0.315
2019,"Dyson, Jarrod",L,448,38,8.5,0.293,410,91.5,0.282
2019,"Marisnick, Jake",R,318,26,8.2,0.432,292,91.8,0.284
2019,"Frazier, Adam",L,600,49,8.2,0.255,551,91.8,0.328
2019,"Ervin, Phillip",R,258,21,8.1,0.239,237,91.9,0.339
2019,"Machado, Manny",R,658,53,8.1,0.362,605,91.9,0.333
2019,"Davis, J.D.",R,451,35,7.8,0.465,416,92.2,0.366
2019,"Turner, Justin",R,548,43,7.8,0.3,505,92.2,0.376
2019,"Gurriel Jr., Lourdes",R,343,26,7.6,0.537,317,92.4,0.343
2019,"Anderson, Tim",R,518,39,7.5,0.482,479,92.5,0.354
2019,"Gamel, Ben",L,354,26,7.3,0.214,328,92.7,0.316
2019,"Guerrero Jr., Vladimir",R,514,37,7.2,0.399,477,92.8,0.324
2019,"Taylor, Chris",R,411,29,7.1,0.204,382,92.9,0.341
2019,"Rendon, Anthony",R,638,45,7.1,0.395,593,92.9,0.414
2019,"Hiura, Keston",R,347,24,6.9,0.421,323,93.1,0.385
2019,"Bote, David",R,352,24,6.8,0.26,328,93.2,0.341
2019,"Duggar, Steven",L,281,19,6.8,0.486,262,93.2,0.249
2019,"Hicks, John",R,333,22,6.6,0.349,311,93.4,0.253
2019,"Smith, Dwight",L,392,26,6.6,0.393,366,93.4,0.293
2019,"Castro, Starlin",R,673,42,6.2,0.44,631,93.8,0.298
2019,"Reyes, Franmil",R,547,34,6.2,0.405,513,93.8,0.334
2019,"Senzel, Nick",R,413,25,6.1,0.453,388,93.9,0.307
2019,"d'Arnaud, Travis",R,391,23,5.9,0.233,368,94.1,0.319
2019,"Contreras, Willson",R,407,24,5.9,0.625,383,94.1,0.352
2019,"Sanchez, Yolmer",L,423,25,5.9,0.264,398,94.1,0.269
2019,"Pham, Tommy",R,650,36,5.5,0.358,614,94.5,0.348
2019,"Dickerson, Corey",L,274,15,5.5,0.347,259,94.5,0.369
2019,"Castro, Harold",L,365,19,5.2,0.309,346,94.8,0.293
2019,"Flores, Wilmer",R,284,12,4.2,0.671,272,95.8,0.346
2019,"Beckham, Tim",R,319,13,4.1,0.094,306,95.9,0.31
2019,"Garcia, Greg",L,371,14,3.8,0.396,357,96.2,0.316
2019,"Almora Jr., Albert",R,359,13,3.6,0.067,346,96.4,0.279
2019,"Diaz, Yandy",R,345,12,3.5,0.743,333,96.5,0.328
2019,"Turner, Trea",R,566,19,3.4,0.579,547,96.6,0.349
2019,"Smith, Mallex",L,566,18,3.2,0.145,548,96.8,0.282
2019,"Moore, Dylan",R,281,9,3.2,0.449,272,96.8,0.292
2019,"Desmond, Ian",R,481,15,3.1,0.221,466,96.9,0.331
2019,"Marte, Starling",R,581,17,2.9,0.5,564,97.1,0.344
2019,"Osuna, Jose",R,285,8,2.8,0.422,277,97.2,0.317
2019,"Mancini, Trey",R,676,18,2.7,0.418,658,97.3,0.372
2019,"Diaz, Elias",R,332,9,2.7,0.097,323,97.3,0.27
2019,"Posey, Buster",R,444,11,2.5,0.316,433,97.5,0.297
2019,"Nola, Austin",R,266,6,2.3,0.115,260,97.7,0.342
2019,"Margot, Manuel",R,440,10,2.3,0.122,430,97.7,0.3
2019,"Abreu, Jose",R,689,15,2.2,0.453,674,97.8,0.342
2019,"Ramos, Wilson",R,519,11,2.1,0.411,508,97.9,0.325
2019,"Fletcher, David",R,642,13,2,0.441,629,98,0.313
2019,"Cabrera, Miguel",R,541,11,2,0.063,530,98,0.325
2019,"Urshela, Gio",R,468,9,1.9,0.173,459,98.1,0.374
2019,"Arraez, Luis",L,365,7,1.9,0.446,358,98.1,0.359
2019,"Cooper, Garrett",R,421,8,1.9,0.435,413,98.1,0.335
2019,"Maybin, Cameron",R,269,5,1.9,0.388,264,98.1,0.362
2019,"Rosario, Amed",R,653,12,1.8,0.478,641,98.2,0.315
2019,"Pinder, Chad",R,360,6,1.7,0,354,98.3,0.302
2019,"Merrifield, Whit",R,725,12,1.7,0.408,713,98.3,0.338
2019,"Ramirez, Harold",R,445,7,1.6,0.124,438,98.4,0.311
2019,"Peraza, Jose",R,398,6,1.5,0.115,392,98.5,0.278
2019,"Andrus, Elvis",R,647,9,1.4,0.54,638,98.6,0.297
2019,"Pence, Hunter",R,316,4,1.3,0.703,312,98.7,0.373
2019,"Alfaro, Jorge",R,464,6,1.3,0.608,458,98.7,0.308
2019,"Correa, Carlos",R,311,4,1.3,0.218,307,98.7,0.384
2019,"Lagares, Juan",R,282,3,1.1,0,279,98.9,0.259
2019,"Eaton, Adam",L,655,7,1.1,0.521,648,98.9,0.34
2019,"Newman, Kevin",R,525,5,1,0.832,520,99,0.334
2019,"Iglesias, Jose",R,522,5,1,0.48,517,99,0.306
2019,"Lucroy, Jonathan",R,319,3,0.9,0.647,316,99.1,0.274
2019,"Perez, Roberto",R,448,4,0.9,0.485,444,99.1,0.324
2019,"Hampson, Garrett",R,326,3,0.9,0.937,323,99.1,0.286
2019,"Molina, Yadier",R,443,4,0.9,0,439,99.1,0.308
2019,"Kendrick, Howie",R,369,3,0.8,0.647,366,99.2,0.398
2019,"Cain, Lorenzo",R,623,4,0.6,0.173,619,99.4,0.303
2019,"Braun, Ryan",R,507,3,0.6,0.986,504,99.4,0.35
2019,"Martin, Richie",R,309,2,0.6,0.87,307,99.4,0.247
2019,"Martinez, Jose",R,371,2,0.5,0.435,369,99.5,0.322
2019,"Arcia, Orlando",R,541,2,0.4,0.435,539,99.6,0.268
2019,"Prado, Martin",R,260,1,0.4,0,259,99.6,0.244
2019,"Segura, Jean",R,617,2,0.3,0,615,99.7,0.316
2019,"Lopez, Nicky",L,398,1,0.3,0,397,99.7,0.256
2019,"DeShields, Delino",R,408,1,0.2,0.69,407,99.8,0.294
2019,"Vazquez, Christian",R,508,1,0.2,0,507,99.8,0.331
2019,"LeMahieu, DJ",R,643,0,0,0,643,100,0.371
2019,"Rojas, Miguel",R,524,0,0,0,524,100,0.305
2019,"Strange-Gordon, Dee",L,409,0,0,0,409,100,0.283
2019,"Lugo, Dawel",R,283,0,0,0,283,100,0.271
2019,"Berti, Jon",R,287,0,0,0,287,100,0.327
