year,batter,bat_side,pa,shift_pa,shift_percent,shift_wobp,nonshift_pa,nonshift_percent,nonshift_wobp
2019,"Gallo, Joey",L,293,281,95.9,0.39,12,4.1,0.644
2019,"Smoak, Justin",L,339,310,91.4,0.337,29,8.6,0.307
2019,"Davis, Chris",L,335,305,91,0.257,30,9,0.215
2019,"Carpenter, Matt",L,471,417,88.5,0.315,54,11.5,0.294
2019,"Bruce, Jay",L,319,280,87.8,0.319,39,12.2,0.363
2019,"Olson, Matt",L,533,463,86.9,0.358,70,13.1,0.419
2019,"Granderson, Curtis",L,362,305,84.3,0.262,57,15.7,0.347
2019,"Moreland, Mitch",L,331,274,82.8,0.347,57,17.2,0.336
2019,"Santana, Carlos",L,455,375,82.4,0.374,80,17.6,0.33
2019,"Fowler, Dexter",L,439,357,81.3,0.317,82,18.7,0.38
2019,"Calhoun, Kole",L,617,498,80.7,0.347,119,19.3,0.256
2019,"Belt, Brandon",L,613,493,80.4,0.335,120,19.6,0.253
2019,"Bellinger, Cody",L,640,513,80.2,0.41,127,19.8,0.433
2019,"Seager, Kyle",L,443,353,79.7,0.33,90,20.3,0.336
2019,"Grandal, Yasmani",L,437,343,78.5,0.339,94,21.5,0.388
2019,"Muncy, Max",L,588,447,76,0.356,141,24,0.425
2019,"Thames, Eric",L,455,343,75.4,0.359,112,24.6,0.337
2019,"Biggio, Cavan",L,430,322,74.9,0.333,108,25.1,0.372
2019,"Alonso, Yonder",L,332,247,74.4,0.285,85,25.6,0.254
2019,"Odor, Rougned",L,579,425,73.4,0.287,154,26.6,0.343
2019,"Adams, Matt",L,332,242,72.9,0.304,90,27.1,0.311
2019,"Ramirez, Jose",L,364,263,72.3,0.296,101,27.7,0.453
2019,"Kepler, Max",L,595,429,72.1,0.355,166,27.9,0.352
2019,"Cabrera, Asdrubal",L,372,267,71.8,0.348,105,28.2,0.291
2019,"McCann, Brian",L,315,222,70.5,0.327,93,29.5,0.275
2019,"Hoskins, Rhys",R,699,493,70.5,0.352,206,29.5,0.335
2019,"Rizzo, Anthony",L,605,420,69.4,0.388,185,30.6,0.383
2019,"Schwarber, Kyle",L,600,416,69.3,0.353,184,30.7,0.366
2019,"Renfroe, Hunter",R,493,340,69,0.317,153,31,0.327
2019,"Bradley Jr., Jackie",L,552,380,68.8,0.3,172,31.2,0.324
2019,"Rosario, Eddie",L,588,398,67.7,0.319,190,32.3,0.349
2019,"Lowe, Brandon",L,327,219,67,0.311,108,33,0.441
2019,"Vogelbach, Daniel",L,549,366,66.7,0.319,183,33.3,0.346
2019,"Pederson, Joc",L,512,341,66.6,0.382,171,33.4,0.322
2019,"Stewart, Christin",L,408,271,66.4,0.309,137,33.6,0.274
2019,"Calhoun, Willie",L,336,222,66.1,0.322,114,33.9,0.394
2019,"Sanchez, Gary",R,432,285,66,0.406,147,34,0.241
2019,"Walker, Neil",L,322,212,65.8,0.326,110,34.2,0.316
2019,"Freeman, Freddie",L,681,447,65.6,0.382,234,34.4,0.397
2019,"Tellez, Rowdy",L,406,264,65,0.312,142,35,0.3
2019,"Zunino, Mike",R,289,187,64.7,0.206,102,35.3,0.289
2019,"Gregorius, Didi",L,332,202,60.8,0.259,130,39.2,0.339
2019,"Vogt, Stephen",L,279,169,60.6,0.327,110,39.4,0.338
2019,"Naylor, Josh",L,278,168,60.4,0.305,110,39.6,0.309
2019,"Harper, Bryce",L,671,403,60.1,0.363,268,39.9,0.37
2019,"Santander, Anthony",L,259,150,57.9,0.294,109,42.1,0.341
2019,"Choi, Ji-Man",L,485,280,57.7,0.377,205,42.3,0.309
2019,"Frazier, Todd",R,498,287,57.6,0.321,211,42.4,0.337
2019,"McKinney, Billy",L,276,159,57.6,0.291,117,42.4,0.292
2019,"Choo, Shin-Soo",L,657,371,56.5,0.348,286,43.5,0.36
2019,"Escobar, Eduardo",L,488,275,56.4,0.342,213,43.6,0.317
2019,"Candelario, Jeimer",L,290,163,56.2,0.355,127,43.8,0.208
2019,"Alvarez, Yordan",L,365,202,55.3,0.447,163,44.7,0.414
2019,"Dietrich, Derek",L,297,163,54.9,0.361,134,45.1,0.287
2019,"Goodrum, Niko",L,361,194,53.7,0.296,167,46.3,0.296
2019,"Bauers, Jake",L,423,226,53.4,0.281,197,46.6,0.314
2019,"Dozier, Brian",R,480,255,53.1,0.334,225,46.9,0.324
2019,"Blackmon, Charlie",L,633,334,52.8,0.405,299,47.2,0.368
2019,"Martin, Leonys",L,264,139,52.7,0.246,125,47.3,0.296
2019,"Moncada, Yoan",L,393,207,52.7,0.352,186,47.3,0.434
2019,"Kipnis, Jason",L,509,265,52.1,0.276,244,47.9,0.329
2019,"Conforto, Michael",L,643,335,52.1,0.398,308,47.9,0.315
2019,"Meadows, Austin",L,585,298,50.9,0.398,287,49.1,0.361
2019,"Bryant, Kris",R,628,318,50.6,0.388,310,49.4,0.374
2019,"Yastrzemski, Mike",L,410,206,50.2,0.372,204,49.8,0.333
2019,"Grichuk, Randal",R,626,311,49.7,0.333,315,50.3,0.276
2019,"O'Hearn, Ryan",L,369,179,48.5,0.244,190,51.5,0.311
2019,"Ruiz, Rio",L,409,197,48.2,0.298,212,51.8,0.293
2019,"Voit, Luke",R,504,239,47.4,0.319,265,52.6,0.385
2019,"Sano, Miguel",R,439,207,47.2,0.359,232,52.8,0.396
2019,"Albies, Ozzie",L,537,253,47.1,0.351,284,52.9,0.303
2019,"Moustakas, Mike",L,579,271,46.8,0.341,308,53.2,0.355
2019,"Pollock, AJ",R,341,159,46.6,0.402,182,53.4,0.273
2019,"Dahl, David",L,413,192,46.5,0.367,221,53.5,0.362
2019,"Castro, Jason",L,275,128,46.5,0.351,147,53.5,0.308
2019,"Shaw, Travis",L,267,124,46.4,0.261,143,53.6,0.236
2019,"VanMeter, Josh",L,260,119,45.8,0.322,141,54.2,0.311
2019,"Suarez, Eugenio",R,650,298,45.8,0.423,352,54.2,0.345
2019,"Crawford, J.P.",L,396,177,44.7,0.322,219,55.3,0.275
2019,"Gordon, Alex",L,627,280,44.7,0.297,347,55.3,0.333
2019,"Pujols, Albert",R,536,239,44.6,0.295,297,55.4,0.318
2019,"Heyward, Jason",L,578,258,44.6,0.335,320,55.4,0.312
2019,"Murphy, Tom",R,281,125,44.5,0.326,156,55.5,0.378
2019,"Betts, Mookie",R,689,300,43.5,0.418,389,56.5,0.353
2019,"Profar, Jurickson",L,395,171,43.3,0.296,224,56.7,0.282
2019,"Gonzalez, Marwin",L,337,145,43,0.284,192,57,0.323
2019,"Soler, Jorge",R,672,289,43,0.413,383,57,0.352
2019,"Moran, Colin",L,495,211,42.6,0.298,284,57.4,0.325
2019,"Hernandez, Teoscar",R,463,194,41.9,0.358,269,58.1,0.301
2019,"Mazara, Nomar",L,467,195,41.8,0.343,272,58.2,0.315
2019,"Haniger, Mitch",R,271,113,41.7,0.363,158,58.3,0.293
2019,"Encarnacion, Edwin",R,462,192,41.6,0.386,270,58.4,0.354
2019,"Beaty, Matt",L,266,109,41,0.36,157,59,0.298
2019,"Polanco, Jorge",L,491,198,40.3,0.376,293,59.7,0.37
2019,"Winker, Jesse",L,372,150,40.3,0.394,222,59.7,0.316
2019,"Davis, Khris",R,520,208,40,0.304,312,60,0.277
2019,"Bell, Josh",L,436,173,39.7,0.307,263,60.3,0.465
2019,"La Stella, Tommy",L,320,124,38.8,0.385,196,61.3,0.332
2019,"Nimmo, Brandon",L,252,96,38.1,0.196,156,61.9,0.429
2019,"Seager, Corey",L,538,203,37.7,0.319,335,62.3,0.353
2019,"Reddick, Josh",L,539,202,37.5,0.286,337,62.5,0.318
2019,"Trout, Mike",R,578,217,37.5,0.396,361,62.5,0.469
2019,"Brantley, Michael",L,625,230,36.8,0.357,395,63.2,0.365
2019,"Guzman, Ronald",L,294,107,36.4,0.26,187,63.6,0.332
2019,"Myers, Wil",R,489,177,36.2,0.359,312,63.8,0.293
2019,"Barnhart, Tucker",L,305,110,36.1,0.337,195,63.9,0.307
2019,"Suzuki, Kurt",R,308,111,36,0.319,197,64,0.347
2019,"Galvis, Freddy",L,404,143,35.4,0.282,261,64.6,0.326
2019,"Mondesi, Adalberto",L,300,104,34.7,0.269,196,65.3,0.34
2019,"Goodwin, Brian",L,448,155,34.6,0.359,293,65.4,0.324
2019,"Ohtani, Shohei",L,424,145,34.2,0.349,279,65.8,0.354
2019,"Kiermaier, Kevin",L,478,163,34.1,0.268,315,65.9,0.292
2019,"McMahon, Ryan",L,538,179,33.3,0.375,359,66.7,0.307
2019,"Luplow, Jordan",R,261,87,33.3,0.4,174,66.7,0.375
2019,"Jansen, Danny",R,383,127,33.2,0.204,256,66.8,0.31
2019,"Torres, Gleyber",R,591,196,33.2,0.37,395,66.8,0.348
2019,"Murphy, Daniel",L,477,157,32.9,0.285,320,67.1,0.349
2019,"Riley, Austin",R,294,96,32.7,0.294,198,67.3,0.313
2019,"Yelich, Christian",L,563,182,32.3,0.47,381,67.7,0.429
2019,"Judge, Aaron",R,434,140,32.3,0.409,294,67.7,0.361
2019,"Lindor, Francisco",L,423,136,32.2,0.369,287,67.8,0.355
2019,"Votto, Joey",L,594,190,32,0.314,404,68,0.343
2019,"Bregman, Alex",R,678,216,31.9,0.411,462,68.1,0.415
2019,"Kelly, Carson",R,355,113,31.8,0.393,242,68.2,0.315
2019,"Narvaez, Omar",L,471,143,30.4,0.312,328,69.6,0.367
2019,"Benintendi, Andrew",L,607,184,30.3,0.292,423,69.7,0.347
2019,"Wong, Kolten",L,537,162,30.2,0.321,375,69.8,0.335
2019,"Hedges, Austin",R,344,103,29.9,0.23,241,70.1,0.248
2019,"McCutchen, Andrew",R,262,78,29.8,0.388,184,70.2,0.346
2019,"Nunez, Renato",R,598,174,29.1,0.371,424,70.9,0.303
2019,"Story, Trevor",R,656,190,29,0.364,466,71,0.387
2019,"Jimenez, Eloy",R,504,145,28.8,0.309,359,71.2,0.357
2019,"Grossman, Robbie",L,420,120,28.6,0.277,300,71.4,0.318
2019,"Semien, Marcus",R,735,208,28.3,0.372,527,71.7,0.371
2019,"Upton, Justin",R,256,72,28.1,0.33,184,71.9,0.298
2019,"Garcia, Avisail",R,528,144,27.3,0.367,384,72.7,0.322
2019,"Realmuto, J.T.",R,591,160,27.1,0.346,431,72.9,0.338
2019,"Cano, Robinson",L,419,112,26.7,0.327,307,73.3,0.302
2019,"Verdugo, Alex",L,376,100,26.6,0.313,276,73.4,0.351
2019,"Chapman, Matt",R,659,173,26.3,0.344,486,73.7,0.357
2019,"Chirinos, Robinson",R,432,111,25.7,0.368,321,74.3,0.324
2019,"Castellanos, Nick",R,654,166,25.4,0.452,488,74.6,0.323
2019,"Longoria, Evan",R,507,128,25.2,0.264,379,74.8,0.342
2019,"Chavis, Michael",R,369,92,24.9,0.3,277,75.1,0.327
2019,"Buxton, Byron",R,294,73,24.8,0.386,221,75.2,0.325
2019,"Edman, Tommy",L,258,64,24.8,0.366,194,75.2,0.332
2019,"Santana, Danny",L,352,87,24.7,0.268,265,75.3,0.378
2019,"DeJong, Paul",R,653,160,24.5,0.326,493,75.5,0.324
2019,"Cruz, Nelson",R,512,118,23,0.455,394,77,0.407
2019,"Severino, Pedro",R,341,77,22.6,0.367,264,77.4,0.301
2019,"Sogard, Eric",L,440,99,22.5,0.346,341,77.5,0.341
2019,"Peralta, David",L,417,93,22.3,0.254,324,77.7,0.361
2019,"Forsythe, Logan",R,367,82,22.3,0.282,285,77.7,0.303
2019,"Devers, Rafael",L,682,147,21.6,0.338,535,78.4,0.389
2019,"Marte, Ketel",L,448,95,21.2,0.439,353,78.8,0.401
