last_name, first_name,bat_side,year,b_ab,batting_avg,slg_percent,b_game,xba,xslg,woba,xwoba,xbadiff,xslgdiff,wobadif
Altuve,Jose,R,2019,500,0.298,0.55,124,0.277,0.499,0.374,0.356,0.021,0.051,0.018
Hernandez,Cesar,S,2019,612,0.279,0.408,161,0.269,0.383,0.315,0.309,0.01,0.025,0.006
Segura,Jean,R,2019,576,0.28,0.42,144,0.275,0.408,0.315,0.317,0.005,0.012,-0.002
Castro,Starlin,R,2019,636,0.27,0.436,162,0.269,0.439,0.307,0.316,0.001,-0.003,-0.009
Marte,Starling,R,2019,539,0.295,0.503,132,0.303,0.516,0.353,0.369,-0.008,-0.013,-0.016
Donaldson,Josh,R,2019,549,0.259,0.521,155,0.269,0.539,0.377,0.39,-0.01,-0.018,-0.013
Freeman,Freddie,L,2019,597,0.295,0.549,158,0.297,0.581,0.387,0.402,-0.002,-0.032,-0.015
Grandal,Yasmani,S,2019,513,0.246,0.468,153,0.243,0.482,0.361,0.369,0.003,-0.014,-0.008
Heyward,Jason,L,2019,513,0.251,0.429,147,0.261,0.407,0.328,0.331,-0.01,0.022,-0.003
LeMahieu,DJ,R,2019,602,0.327,0.518,145,0.319,0.533,0.375,0.384,0.008,-0.015,-0.009
Moustakas,Mike,L,2019,523,0.254,0.516,143,0.263,0.509,0.348,0.354,-0.009,0.007,-0.006
Rizzo,Anthony,L,2019,512,0.293,0.52,146,0.301,0.498,0.39,0.394,-0.008,0.022,-0.004
Galvis,Freddy,S,2019,557,0.26,0.438,147,0.24,0.394,0.308,0.287,0.021,0.045,0.021
Garcia,Avisail,R,2019,489,0.282,0.464,125,0.278,0.502,0.334,0.351,0.004,-0.038,-0.017
Ozuna,Marcell,R,2019,485,0.241,0.472,130,0.291,0.548,0.336,0.387,-0.05,-0.076,-0.051
Villar,Jonathan,S,2019,642,0.274,0.453,162,0.247,0.414,0.335,0.316,0.027,0.039,0.019
Santana,Danny,S,2019,474,0.283,0.534,130,0.276,0.502,0.352,0.346,0.007,0.032,0.006
Crawford,Brandon,L,2019,500,0.228,0.35,147,0.244,0.408,0.281,0.313,-0.016,-0.058,-0.032
Hosmer,Eric,L,2019,619,0.265,0.425,160,0.255,0.417,0.309,0.309,0.01,0.008,0
Kipnis,Jason,L,2019,458,0.245,0.41,121,0.259,0.425,0.301,0.322,-0.014,-0.015,-0.021
Rendon,Anthony,R,2019,545,0.319,0.598,146,0.315,0.6,0.413,0.42,0.004,-0.002,-0.007
Semien,Marcus,R,2019,657,0.285,0.522,162,0.275,0.503,0.373,0.367,0.01,0.019,0.006
Springer,George,R,2019,479,0.292,0.591,122,0.288,0.582,0.401,0.404,0.004,0.009,-0.003
Vazquez,Christian,R,2019,482,0.276,0.477,138,0.253,0.447,0.331,0.317,0.023,0.03,0.014
Wong,Kolten,L,2019,478,0.285,0.423,148,0.25,0.365,0.334,0.307,0.035,0.058,0.027
Garcia,Leury,S,2019,577,0.279,0.378,140,0.247,0.359,0.295,0.279,0.032,0.019,0.016
Grichuk,Randal,R,2019,586,0.232,0.457,151,0.241,0.437,0.307,0.309,-0.009,0.021,-0.002
Trout,Mike,R,2019,470,0.291,0.645,134,0.311,0.676,0.436,0.46,-0.02,-0.031,-0.024
Harper,Bryce,L,2019,573,0.26,0.51,157,0.277,0.551,0.366,0.39,-0.017,-0.041,-0.024
Abreu,Jose,R,2019,634,0.284,0.503,159,0.282,0.522,0.344,0.363,0.002,-0.019,-0.019
Suarez,Eugenio,R,2019,575,0.271,0.572,159,0.251,0.509,0.381,0.361,0.02,0.063,0.02
Santana,Domingo,R,2019,451,0.253,0.441,121,0.254,0.49,0.326,0.349,-0.001,-0.049,-0.023
Sanchez,Yolmer,S,2019,496,0.252,0.321,149,0.234,0.323,0.281,0.28,0.018,-0.002,0.001
Arenado,Nolan,R,2019,588,0.315,0.583,155,0.274,0.489,0.392,0.349,0.041,0.094,0.043
Muncy,Max,L,2019,487,0.251,0.515,141,0.272,0.527,0.373,0.39,-0.021,-0.012,-0.017
Voit,Luke,R,2019,429,0.263,0.464,118,0.249,0.496,0.36,0.367,0.014,-0.032,-0.007
Walker,Christian,R,2019,529,0.259,0.476,152,0.266,0.522,0.346,0.367,-0.007,-0.046,-0.021
Iglesias,Jose,R,2019,504,0.288,0.407,146,0.271,0.376,0.306,0.296,0.017,0.031,0.01
Bryant,Kris,R,2019,543,0.282,0.521,147,0.251,0.469,0.38,0.354,0.031,0.052,0.026
Castellanos,Nick,R,2019,615,0.289,0.525,151,0.285,0.552,0.358,0.37,0.004,-0.027,-0.012
Machado,Manny,R,2019,587,0.256,0.462,156,0.267,0.474,0.335,0.349,-0.011,-0.012,-0.014
Moran,Colin,L,2019,466,0.277,0.429,149,0.263,0.446,0.315,0.32,0.014,-0.017,-0.005
Pederson,Joc,L,2019,450,0.249,0.538,149,0.252,0.481,0.362,0.349,-0.003,0.057,0.013
Realmuto,J.T.,R,2019,538,0.275,0.493,145,0.281,0.48,0.34,0.349,-0.006,0.013,-0.009
Rosario,Eddie,L,2019,562,0.276,0.5,137,0.268,0.506,0.329,0.336,0.008,-0.006,-0.007
Yelich,Christian,L,2019,489,0.329,0.671,130,0.315,0.629,0.442,0.428,0.015,0.043,0.014
Merrifield,Whit,R,2019,681,0.302,0.463,162,0.286,0.442,0.34,0.332,0.016,0.021,0.008
Bogaerts,Xander,R,2019,614,0.309,0.555,155,0.278,0.484,0.39,0.361,0.031,0.071,0.029
Alberto,Hanser,R,2019,524,0.305,0.422,139,0.283,0.401,0.318,0.308,0.022,0.021,0.01
Polanco,Jorge,S,2019,631,0.295,0.485,153,0.277,0.478,0.352,0.349,0.018,0.007,0.003
Calhoun,Kole,L,2019,552,0.232,0.467,152,0.245,0.479,0.33,0.344,-0.013,-0.012,-0.014
Eaton,Adam,L,2019,566,0.279,0.428,151,0.263,0.417,0.342,0.336,0.016,0.011,0.006
Profar,Jurickson,S,2019,459,0.218,0.41,139,0.256,0.438,0.301,0.334,-0.038,-0.028,-0.033
Baez,Javier,R,2019,531,0.281,0.531,138,0.269,0.51,0.347,0.339,0.012,0.021,0.008
Lindor,Francisco,S,2019,598,0.284,0.518,143,0.276,0.467,0.349,0.336,0.008,0.051,0.013
Odor,Rougned,L,2019,522,0.205,0.439,145,0.223,0.471,0.302,0.324,-0.018,-0.032,-0.022
Story,Trevor,R,2019,588,0.294,0.554,145,0.265,0.471,0.38,0.346,0.029,0.083,0.034
Vogelbach,Daniel,L,2019,462,0.208,0.439,144,0.229,0.447,0.333,0.348,-0.021,-0.008,-0.015
Kepler,Max,L,2019,524,0.252,0.519,134,0.264,0.465,0.355,0.348,-0.012,0.054,0.007
Bradley Jr.,Jackie,L,2019,494,0.225,0.421,147,0.234,0.431,0.314,0.327,-0.009,-0.01,-0.013
Nunez,Renato,R,2019,541,0.244,0.46,151,0.256,0.474,0.323,0.338,-0.012,-0.014,-0.015
Ahmed,Nick,R,2019,556,0.254,0.437,158,0.261,0.432,0.315,0.326,-0.007,0.005,-0.011
Anderson,Brian,R,2019,459,0.261,0.468,126,0.258,0.461,0.342,0.345,0.003,0.007,-0.003
Bell,Josh,S,2019,527,0.277,0.569,143,0.288,0.565,0.379,0.39,-0.011,0.004,-0.011
Betts,Mookie,R,2019,597,0.295,0.524,150,0.313,0.58,0.38,0.414,-0.018,-0.056,-0.034
Smith,Mallex,L,2019,510,0.227,0.335,134,0.215,0.3,0.278,0.268,0.012,0.035,0.01
Arcia,Orlando,R,2019,494,0.223,0.35,152,0.23,0.369,0.269,0.287,-0.007,-0.019,-0.018
Marte,Ketel,S,2019,569,0.329,0.592,144,0.305,0.531,0.405,0.38,0.024,0.061,0.025
Turner,Trea,R,2019,521,0.298,0.497,122,0.283,0.462,0.356,0.344,0.015,0.036,0.012
Pillar,Kevin,R,2019,611,0.259,0.432,161,0.266,0.416,0.298,0.304,-0.007,0.016,-0.006
Ramirez,Jose,S,2019,482,0.255,0.479,129,0.272,0.467,0.335,0.346,-0.017,0.012,-0.011
Bregman,Alex,R,2019,554,0.296,0.592,156,0.272,0.465,0.418,0.38,0.024,0.127,0.038
Seager,Corey,L,2019,489,0.272,0.483,134,0.261,0.468,0.34,0.335,0.011,0.015,0.005
Reyes,Franmil,R,2019,494,0.249,0.512,150,0.265,0.543,0.338,0.364,-0.016,-0.031,-0.026
Swanson,Dansby,R,2019,483,0.251,0.422,127,0.275,0.49,0.317,0.357,-0.024,-0.068,-0.04
Newman,Kevin,R,2019,493,0.308,0.446,130,0.282,0.387,0.34,0.314,0.026,0.059,0.026
Olson,Matt,L,2019,483,0.267,0.545,127,0.283,0.59,0.368,0.395,-0.016,-0.045,-0.027
Alonso,Pete,R,2019,597,0.26,0.583,161,0.258,0.545,0.384,0.379,0.002,0.038,0.005
Conforto,Michael,L,2019,549,0.257,0.494,151,0.266,0.513,0.358,0.374,-0.009,-0.019,-0.016
Frazier,Adam,L,2019,554,0.278,0.417,152,0.279,0.408,0.32,0.323,-0.001,0.009,-0.003
Puig,Yasiel,R,2019,555,0.267,0.458,149,0.262,0.461,0.33,0.334,0.005,-0.003,-0.004
Soler,Jorge,R,2019,589,0.265,0.569,162,0.278,0.596,0.378,0.397,-0.013,-0.027,-0.019
Meadows,Austin,L,2019,530,0.291,0.558,138,0.286,0.553,0.38,0.379,0.005,0.005,0.001
Anderson,Tim,R,2019,498,0.335,0.508,123,0.296,0.471,0.363,0.337,0.039,0.037,0.026
Bellinger,Cody,L,2019,558,0.305,0.629,156,0.324,0.647,0.415,0.437,-0.019,-0.018,-0.022
Dozier,Hunter,R,2019,523,0.279,0.522,139,0.265,0.48,0.36,0.345,0.014,0.042,0.015
Mancini,Trey,R,2019,602,0.291,0.535,154,0.279,0.51,0.373,0.366,0.012,0.025,0.007
McMahon,Ryan,L,2019,480,0.25,0.45,141,0.248,0.437,0.33,0.33,0.002,0.013,0
Rosario,Amed,R,2019,616,0.287,0.432,157,0.294,0.435,0.318,0.33,-0.007,-0.003,-0.012
Adames,Willy,R,2019,531,0.254,0.418,152,0.254,0.446,0.313,0.326,0,-0.028,-0.013
Benintendi,Andrew,L,2019,541,0.266,0.431,138,0.269,0.47,0.33,0.348,-0.003,-0.039,-0.018
McNeil,Jeff,L,2019,510,0.318,0.531,133,0.291,0.478,0.385,0.361,0.027,0.053,0.024
Albies,Ozzie,S,2019,640,0.295,0.5,160,0.292,0.497,0.354,0.356,0.003,0.003,-0.002
Robles,Victor,R,2019,546,0.255,0.419,155,0.234,0.379,0.317,0.3,0.021,0.04,0.017
Devers,Rafael,L,2019,647,0.311,0.555,156,0.302,0.533,0.377,0.371,0.009,0.022,0.006
Jimenez,Eloy,R,2019,468,0.267,0.513,122,0.27,0.526,0.343,0.355,-0.003,-0.013,-0.012
Torres,Gleyber,R,2019,546,0.278,0.535,144,0.262,0.501,0.359,0.347,0.016,0.034,0.012
Chapman,Matt,R,2019,583,0.249,0.506,156,0.255,0.507,0.354,0.362,-0.006,-0.001,-0.008
Hoskins,Rhys,R,2019,570,0.226,0.454,160,0.221,0.429,0.347,0.344,0.005,0.025,0.003
Schwarber,Kyle,L,2019,529,0.25,0.531,155,0.267,0.558,0.357,0.378,-0.017,-0.027,-0.021
DeJong,Paul,R,2019,583,0.233,0.444,159,0.239,0.448,0.322,0.333,-0.006,-0.004,-0.011
Moncada,Yoan,S,2019,511,0.315,0.548,132,0.285,0.523,0.38,0.362,0.03,0.025,0.018
Acuna Jr.,Ronald,R,2019,626,0.28,0.518,156,0.282,0.578,0.369,0.393,-0.002,-0.06,-0.024
Fletcher,David,R,2019,596,0.29,0.384,154,0.297,0.377,0.318,0.324,-0.007,0.007,-0.006
Guerrero Jr.,Vladimir,R,2019,464,0.272,0.433,123,0.261,0.435,0.329,0.331,0.011,-0.002,-0.002
Soto,Juan,L,2019,542,0.282,0.548,150,0.288,0.584,0.394,0.414,-0.006,-0.036,-0.02
Reynolds,Bryan,S,2019,491,0.314,0.503,134,0.3,0.487,0.371,0.367,0.014,0.016,0.004
