last_name, first_name,bat_side,year,b_ab,batting_avg,slg_percent,b_game,xba,xslg,woba,xwoba,xbadiff,xslgdiff,wobadif
Pujols,Albert,R,2019,491,0.244,0.43,131,0.253,0.433,0.308,0.322,-0.009,-0.003,-0.014
Cabrera,Miguel,R,2019,493,0.282,0.398,136,0.272,0.443,0.318,0.336,0.01,-0.045,-0.018
Choo,Shin-Soo,L,2019,563,0.265,0.455,151,0.266,0.48,0.353,0.365,-0.001,-0.025,-0.012
Jones,Adam,R,2019,485,0.26,0.414,137,0.258,0.434,0.308,0.321,0.001,-0.02,-0.013
Cruz,Nelson,R,2019,454,0.311,0.639,120,0.294,0.643,0.418,0.42,0.017,-0.003,-0.002
Longoria,Evan,R,2019,453,0.254,0.437,129,0.276,0.504,0.322,0.36,-0.022,-0.067,-0.038
Fowler,Dexter,S,2019,487,0.238,0.409,150,0.254,0.43,0.326,0.344,-0.016,-0.021,-0.018
Cabrera,Asdrubal,S,2019,447,0.26,0.441,131,0.241,0.418,0.331,0.323,0.019,0.023,0.008
Blackmon,Charlie,L,2019,580,0.314,0.576,140,0.301,0.532,0.387,0.373,0.013,0.044,0.014
Cain,Lorenzo,R,2019,562,0.26,0.372,148,0.292,0.422,0.302,0.34,-0.032,-0.05,-0.038
Turner,Justin,R,2019,479,0.29,0.509,135,0.29,0.524,0.37,0.382,0,-0.015,-0.012
Votto,Joey,L,2019,525,0.261,0.411,142,0.261,0.451,0.332,0.35,0,-0.04,-0.018
Gardner,Brett,L,2019,491,0.251,0.503,141,0.241,0.375,0.344,0.306,0.01,0.128,0.038
Braun,Ryan,R,2019,459,0.285,0.505,144,0.271,0.482,0.354,0.347,0.014,0.023,0.007
Gordon,Alex,L,2019,556,0.266,0.396,150,0.262,0.437,0.319,0.339,0.004,-0.041,-0.02
Andrus,Elvis,R,2019,600,0.275,0.393,147,0.275,0.407,0.3,0.316,0,-0.014,-0.016
Ramos,Wilson,R,2019,473,0.288,0.416,141,0.264,0.405,0.327,0.318,0.024,0.011,0.009
Santana,Carlos,S,2019,573,0.281,0.515,158,0.271,0.491,0.38,0.372,0.01,0.024,0.008
Belt,Brandon,L,2019,526,0.234,0.403,156,0.244,0.465,0.319,0.35,-0.01,-0.062,-0.031
Brantley,Michael,L,2019,575,0.311,0.503,148,0.301,0.485,0.367,0.365,0.01,0.018,0.002
Gurriel,Yuli,R,2019,564,0.298,0.541,144,0.283,0.421,0.364,0.325,0.015,0.12,0.039
Rojas,Miguel,R,2019,483,0.284,0.379,132,0.275,0.379,0.305,0.31,0.009,0,-0.005
Escobar,Eduardo,S,2019,636,0.269,0.511,158,0.259,0.473,0.341,0.332,0.01,0.038,0.009
Davis,Khris,R,2019,481,0.22,0.387,133,0.236,0.446,0.289,0.323,-0.016,-0.059,-0.034
Pham,Tommy,R,2019,567,0.273,0.45,145,0.282,0.473,0.349,0.366,-0.009,-0.023,-0.017
Martinez,J.D.,R,2019,575,0.304,0.557,146,0.306,0.578,0.386,0.402,-0.002,-0.021,-0.016
Reddick,Josh,L,2019,501,0.275,0.409,141,0.276,0.4,0.308,0.318,-0.001,0.009,-0.01
Goldschmidt,Paul,R,2019,597,0.26,0.476,161,0.261,0.517,0.346,0.364,-0.001,-0.041,-0.018
